authorId,name,slug
14954,Heidi Murkoff,heidi-murkoff
211811,Hương Đỗ (Mẹ Ong Bông),huong-do-me-ong-bong
211809,Hachun Lyonnet (Hà Chũn),hachun-lyonnet-ha-chun
437993,"Mẹ Ong Bông, Hachun Lyonnet, Bubu Hương",me-ong-bong-hachun-lyonnet-bubu-huong
419229,Trương Nguyện Thành,truong-nguyen-thanh
5595735,Shefali Tsabary,shefali-tsabary
5632689,Rabi Mama,rabi-mama
13685,Hạnh Nguyên,hanh-nguyen
114652,Phạm Thị Thúy,pham-thi-thuy
16778,Foster Cline & Jim Fay,foster-cline-jim-fay
458771,Thanh Nhã,thanh-nha
437011,Kristeen Robson,kristeen-robson
455823,Uyên Bùi,uyen-bui
7426883,Nguyễn Trí Đoàn,nguyen-tri-doan
244555,Nguyễn Thị Thu,nguyen-thi-thu
4430989,Geraldine Dawson,geraldine-dawson
4430991,Sally J.Rogers,sally-j-rogers
428273,Simone Davies,simone-davies
7505889,Dr.Cherry Vũ,dr-cherry-vu
7725849,Rebecca Fett,rebecca-fett
20684,Địch Quế Dung,dich-que-dung
7899443,An Tiêu,an-tieu
7905573,Pamela Paul,pamela-paul
7905577,Maria Russo,maria-russo
7980215,BS. Lê Ngọc Anh Thy,bs-le-ngoc-anh-thy
79702,Linh Phan,linh-phan
8043691,Will Rainey,will-rainey
114251,Gilles Diederichs,gilles-diederichs
428259,Philippa Perry,philippa-perry
8095857,Hình Đào-kỷ giang hồng,hinh-dao-ky-giang-hong
8115721,Kazuo Inamori,kazuo-inamori
51785,Carol Garhart Mooney,carol-garhart-mooney
8138297,Adam Carpenter,adam-carpenter
844991,Jason Fung,jason-fung
8130633,Margalis Fjelstad,margalis-fjelstad
8130635,Jean McBride,jean-mcbride
496231,Andy Puddicombe,andy-puddicombe
8164175,Einstein/ETS,einstein-ets
8178343,Hà Chũn,ha-chun
7493385,Hà Minh,ha-minh
457995,Bubu Hương,bubu-huong
8200926,Alicia Vu,alicia-vu
47950,Hội Nghiên Cứu Khoa Học Đời Sống Trẻ Em Nhật Bản,hoi-nghien-cuu-khoa-hoc-doi-song-tre-em-nhat-ban
8204618,Lindsay C.Gibson,lindsay-c-gibson
24892,Hán Trúc,han-truc
159417,Kishimi Ichiro,kishimi-ichiro
21038,Ibuka Masaru,ibuka-masaru
545945, Hachun Lyonnet,hachun-lyonnet
8216811,Phạm Nghị Nhiên,pham-nghi-nhien
4271011,Tiến sĩ Shefali Tsabary,tien-si-shefali-tsabary
